host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
Sack,1.23 TB,29.54 GB,45,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.2.1023.0100.105\Bin\ccSvcHst.exe,2021-10-24 23:23:14
Sack,2.6 GB,90.19 MB,45,osqueryd.exe,C:\Program Files\Orbit\bin\osqueryd\windows\stable\osqueryd.exe,2021-10-24 23:23:15
Sack,92 bytes,116 bytes,45,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-10-24 23:23:15
Sack,0 bytes,0 bytes,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:23:24
Sack,921.94 MB,426.95 MB,45,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-10-24 23:23:27
Sack,236.99 KB,118.56 KB,45,GoogleCrashHandler.exe,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler.exe,2021-10-24 23:23:27
Sack,8.12 KB,4.16 KB,45,GoogleCrashHandler64.exe,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler64.exe,2021-10-24 23:23:27
Sack,17.67 MB,7.26 MB,45,SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe,2021-10-24 23:23:56
Sack,0 bytes,0 bytes,45,unsecapp.exe,C:\Windows\System32\wbem\unsecapp.exe,2021-10-24 23:24:16
Sack,2.13 KB,0 bytes,45,svchost.exe,C:\Windows\System32\svchost.exe,2021-10-24 23:24:21
Sack,26.22 MB,13.69 MB,45,IAStorDataMgrSvc.exe,C:\Program Files (x86)\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe,2021-10-24 23:25:27
Sack,0 bytes,18 bytes,45,LMS.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe,2021-10-24 23:25:27
Sack,28.71 KB,64 bytes,45,UNS.exe,C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\UNS\UNS.exe,2021-10-24 23:25:29
Sack,19.82 KB,0 bytes,44,cmd.exe,C:\Windows\SysWOW64\cmd.exe,2021-10-25 21:00:23
Sack,17.62 KB,0 bytes,44,conhost.exe,C:\Windows\System32\conhost.exe,2021-10-25 21:00:23
Sack,1.21 GB,736.77 MB,44,cscript.exe,C:\Windows\SysWOW64\cscript.exe,2021-10-25 21:00:23
Sack,7.68 MB,0 bytes,40,csrss.exe,C:\Windows\System32\csrss.exe,2021-10-29 22:30:27
Sack,1.26 MB,800 bytes,40,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-10-29 22:30:28
Sack,10.24 GB,4.07 GB,37,TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,2021-11-01 17:36:08
Sack,1.96 MB,6.77 MB,37,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-11-01 22:38:38
Sack,81.96 MB,0 bytes,37,ccSvcHst.exe,C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.2.1023.0100.105\Bin\ccSvcHst.exe,2021-11-01 22:38:39
Sack,22.49 KB,0 bytes,37,rundll32.exe,C:\Windows\System32\rundll32.exe,2021-11-01 22:38:39
Sack,37.76 KB,0 bytes,37,dwm.exe,C:\Windows\System32\dwm.exe,2021-11-01 22:38:40
Sack,484.54 MB,3.36 MB,37,explorer.exe,C:\Windows\explorer.exe,2021-11-01 22:38:40
Sack,21.75 KB,0 bytes,37,igfxtray.exe,C:\Windows\System32\igfxtray.exe,2021-11-01 22:38:41
Sack,29.44 KB,0 bytes,37,hkcmd.exe,C:\Windows\System32\hkcmd.exe,2021-11-01 22:38:41
Sack,38.1 KB,6 KB,37,igfxpers.exe,C:\Windows\System32\igfxpers.exe,2021-11-01 22:38:41
Sack,10.42 KB,0 bytes,37,sttray64.exe,C:\Program Files\IDT\WDM\sttray64.exe,2021-11-01 22:38:41
Sack,39.87 KB,0 bytes,37,StikyNot.exe,C:\Windows\System32\StikyNot.exe,2021-11-01 22:38:41
Sack,12.65 MB,24.06 MB,37,IAStorIcon.exe,C:\Program Files (x86)\Intel\Intel(R) Rapid Storage Technology\IAStorIcon.exe,2021-11-01 22:38:41
Sack,30.6 KB,0 bytes,37,concentr.exe,C:\Program Files (x86)\Citrix\ICA Client\concentr.exe,2021-11-01 22:38:42
Sack,65.9 KB,0 bytes,37,wfcrun32.exe,C:\Program Files (x86)\Citrix\ICA Client\wfcrun32.exe,2021-11-01 22:38:42
Sack,2.44 MB,1.45 MB,37,taskhost.exe,C:\Windows\System32\taskhost.exe,2021-11-01 22:41:04
Sack,0 bytes,0 bytes,34,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-04 20:36:10
Sack,1.82 MB,381.08 KB,33,sublime_text.exe,C:\Program Files (x86)\Sublime Text 3\sublime_text.exe,2021-11-05 19:34:19
Sack,5.53 MB,3.95 MB,33,plugin_host.exe,C:\Program Files (x86)\Sublime Text 3\plugin_host.exe,2021-11-05 19:34:20
Sack,60 bytes,0 bytes,15,SnippingTool.exe,C:\Windows\System32\SnippingTool.exe,2021-11-23 19:16:12
Sack,0 bytes,0 bytes,15,wisptis.exe,C:\Windows\System32\wisptis.exe,2021-11-23 19:16:13
Sack,6.14 MB,6.01 KB,9,NanoNTDevelopment.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.9\Bin\NanoNTDevelopment.exe,2021-11-29 20:21:47
