_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a20007,4.5 KB,531.54 KB,5,STBOXX60,LogiOptions.exe,C:\Program Files\Logitech\LogiOptions\LogiOptions.exe,2021-11-11 16:33:36
619db92e73459a10a4a20008,1.07 MB,8 bytes,5,STBOXX60,LogiOverlay.exe,C:\ProgramData\Logishrd\LogiOptions\Software\Current\LogiOverlay.exe,2021-11-11 16:33:36
619db92e73459a10a4a20009,72.08 KB,0 bytes,5,STBOXX60,WzPreloader.exe,C:\Program Files\WinZip\WzPreloader.exe,2021-11-11 16:33:37
619db92e73459a10a4a2000a,174 bytes,0 bytes,5,STBOXX60,FAHWindow64.exe,C:\Program Files\WinZip\FAHWindow64.exe,2021-11-11 16:33:39
619db92e73459a10a4a2000b,0 bytes,0 bytes,5,STBOXX60,WavesSvc64.exe,C:\Program Files\Waves\MaxxAudio\WavesSvc64.exe,2021-11-11 16:33:40
619db92e73459a10a4a2000c,21.15 KB,0 bytes,5,STBOXX60,AppleMobileDeviceProcess.exe,C:\Program Files\WindowsApps\AppleInc.iTunes_12122.2.54019.0_x64__nzyj5cx40ttqa\AMDS64\AppleMobileDeviceProcess.exe,2021-11-11 16:33:42
619db92e73459a10a4a2000d,889.63 KB,3.28 MB,5,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-11 16:33:58
619db92e73459a10a4a2000e,1.25 GB,97.28 MB,5,STBOXX60,Microsoft.Photos.exe,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe,2021-11-11 16:40:31
619db92e73459a10a4a2000f,1.67 MB,22.85 KB,5,STBOXX60,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,2021-11-11 16:40:31
619db92e73459a10a4a20010,901.12 KB,147.46 KB,5,STBOXX60,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-11 17:03:39
619db92e73459a10a4a20011,0 bytes,0 bytes,5,STBOXX60,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-11 19:30:56
